First Name,Last Name,Gender,Age,Phone,Education,Occupation,Marital Status,Number of Children,Address,Caste,YojanaCardBenefits,YojanaCardBenefitsBankAccountLinked,YojanaCardBenefitsUniqueQRCode,YojanaCardBenefitsBookServiceWithHaqdarshaks,YojanaCardBenefitsSchemeApplicationSupport,YojanaCardBenefitsDigiLockerAccount,YojanaCardBenefitsOffersCashbacks,YojanaCardInterestedInYojanaCardStatus,YojanaCardFeatureBenefitInformation,YojanaCardFeatureBenefitSubsidySchemeInfo,YojanaCardFeatureBenefitAccessToBankingServices,YojanaCardFeatureBenefitYojanaKendra,YojanaCardFeatureBenefitHQHelpline,YojanaCardFeatureBenefitAssistedHQService,YojanaCardFeatureBenefitDigilocker,YojanaCardFeatureBenefitCashbackOffers,YojanaCardFeatureBenefitBankAccountInfo,YojanaCardFeatureBenefitOtherStatus,YojanaCardLoanInterestStatus,YojanaCardInsurance,YojanaCardUnmetNeedsHealthExpenses,YojanaCardUnmetNeedsChildrensEducation,YojanaCardUnmetNeedsMarriageSupport,YojanaCardUnmetNeedsBusinessSupport,YojanaCardUnmetNeedsNone,YojanaCardUnmetNeedsOther,YojanaCardInterestInPayingForYojanaCard,YojanaCardPriceComfortableToAvailYojanaCard,YojanaCardAcceptanceOfFreeYojanaCard
Cadie,Scott,Female,24,787-6371-18,Primary,Business,Single,2,Kochi,SC,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0
Sophia,Johnson,Female,23,541-7651-79,Illiterate,Teaching faculty,Married,1,Mumbai,OBC,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
Lyndon,Scott,Male,20,268-3140-69,Secondary,Pharmacist,Married,3,Patna,NT/DNT,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1
Isabella,Phillips,Female,18,837-4334-04,Senior Secondary,Civil Engineer,Married,2,Kochi,ST,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
Ryan,Miller,Male,26,304-2544-67,Primary,Doctor,Single,2,Patna,Prefer Not to say,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0
Aston,Evans,Male,28,382-4829-89,Graduation,Accountant,Single,1,Lucknow,Prefer Not to say,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0
Kelsey,Anderson,Female,28,880-7346-58,Post graduation,Civil Engineer,Married,1,Mumbai,SC,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1
Savana,Russell,Female,26,109-0904-93,Post graduation,Doctor,Married,3,Raipur,ST,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1
Abraham,Morrison,Male,20,772-9956-60,Post graduation,Doctor,Single,5,Chennai,General,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1
Steven,Barrett,Male,23,334-2584-46,Senior Secondary,Lawyer,Single,4,Chennai,SC,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0
Penelope,Harrison,Female,27,568-0505-17,Illiterate,Pharmacist,Single,3,Chennai,OBC,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1
Aston,Smith,Male,28,098-5682-02,Graduation,Police,Single,3,Bangalore,SC,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
Roland,Scott,Male,26,745-6938-58,Graduation,Lawyer,Single,5,Kolkata,General,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0
Alan,Sullivan,Male,30,567-8992-99,Illiterate,Production Engineer,Single,3,Raipur,Prefer Not to say,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1
Lana,Hill,Female,22,982-2056-59,Secondary,Software Developer,Single,5,Kochi,Prefer Not to say,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1
Max,Crawford,Male,22,216-3754-41,Senior Secondary,Lawyer,Married,0,Lucknow,ST,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1
Alina,Rogers,Female,22,318-7665-94,Graduation,Mechanic,Single,2,Delhi,NT/DNT,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
Blake,Turner,Male,24,927-6868-61,Senior Secondary,Police,Single,0,Bangalore,ST,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1
Alford,Mitchell,Male,29,945-7240-78,Post graduation,Production Engineer,Married,0,Chennai,OBC,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
Oliver,Smith,Male,18,694-2816-95,Primary,Accountant,Single,5,Chennai,SC,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0
Edward,Armstrong,Male,18,873-6863-72,Senior Secondary,Teaching faculty,Married,4,Kochi,General,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0
Martin,Lloyd,Male,22,928-4632-36,Secondary,Lawyer,Single,0,Mumbai,NT/DNT,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1
Jessica,Roberts,Female,21,553-3005-13,Graduation,Lawyer,Single,0,Kochi,ST,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
Frederick,Hall,Male,24,475-6910-81,Senior Secondary,Clerk,Married,0,Hyderabad,NT/DNT,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0
Roland,Harper,Male,22,032-8511-89,Senior Secondary,Police,Single,5,Lucknow,NT/DNT,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1
Mike,Owens,Male,22,697-3280-14,Secondary,Civil Engineer,Single,3,Bangalore,General,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1
Marcus,Robinson,Male,18,199-6684-63,Post graduation,Architect,Married,0,Chennai,General,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
Audrey,Baker,Female,21,453-3393-69,Primary,Business,Single,4,Chennai,OBC,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0
Michelle,Ferguson,Female,20,153-5295-77,Secondary,Police,Single,3,Delhi,NT/DNT,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
Freddie,Payne,Male,18,017-3216-82,Illiterate,Accountant,Married,3,Delhi,SC,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
Chloe,Watson,Female,18,716-8467-24,Post graduation,Clerk,Married,1,Patna,ST,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
Dexter,Moore,Male,30,981-7985-78,Illiterate,Mechanic,Married,3,Chennai,General,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
Ellia,Cameron,Female,23,249-5902-32,Post graduation,Software Developer,Single,5,Chennai,SC,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
Dale,Riley,Male,28,009-6744-22,Primary,Business,Married,4,Lucknow,ST,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1
Preston,Brown,Male,22,476-1302-69,Senior Secondary,Accountant,Married,2,Bangalore,NT/DNT,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1
Aiden,Barnes,Male,27,049-0934-29,Secondary,Pharmacist,Married,5,Raipur,ST,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
William,Wright,Male,27,791-0862-56,Primary,Police,Single,0,Chennai,OBC,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
Walter,Hill,Male,28,251-3757-46,Primary,Plumber,Single,4,Patna,NT/DNT,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Sarah,Davis,Female,22,685-3674-80,Graduation,Clerk,Married,3,Bangalore,ST,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
Aida,Morgan,Female,26,697-6208-15,Senior Secondary,Software Developer,Married,5,Raipur,OBC,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1
Connie,Miller,Female,18,482-5191-06,Illiterate,Lawyer,Single,1,Hyderabad,General,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0
Penelope,Richardson,Female,24,440-5133-67,Primary,Clerk,Single,0,Kolkata,General,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
Abraham,Bennett,Male,29,580-4281-59,Graduation,Pharmacist,Single,1,Kolkata,ST,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0
Kelvin,Adams,Male,30,014-9512-38,Illiterate,Teaching faculty,Single,2,Bangalore,SC,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1
Lucas,Myers,Male,24,136-3908-50,Secondary,Business,Single,4,Delhi,SC,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1
Deanna,Hill,Female,24,363-1222-58,Graduation,Software Developer,Single,4,Raipur,SC,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1
Jared,Roberts,Male,18,867-4736-32,Graduation,Civil Engineer,Single,5,Delhi,General,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0
Clark,Brown,Male,25,600-9504-87,Graduation,Architect,Single,1,Raipur,OBC,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1
Kate,Nelson,Female,19,836-3966-85,Senior Secondary,Software Developer,Married,1,Mumbai,Prefer Not to say,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0
Amy,Johnston,Female,27,361-5697-93,Primary,Mechanic,Single,4,Kolkata,NT/DNT,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1
Adison,Farrell,Male,23,146-6032-17,Primary,Mechanic,Married,3,Delhi,Prefer Not to say,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0
Julia,Holmes,Female,25,503-7730-27,Post graduation,Business,Married,0,Chennai,General,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1
Myra,Crawford,Female,29,412-9576-19,Illiterate,Production Engineer,Single,0,Delhi,Prefer Not to say,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1
Eleanor,Kelly,Female,21,858-1257-40,Primary,Data Analyst,Married,4,Patna,SC,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1
Kellan,Kelly,Male,21,043-8471-98,Graduation,Lawyer,Single,4,Kolkata,ST,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
William,Stevens,Male,22,510-8331-68,Illiterate,Architect,Single,5,Lucknow,OBC,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
Alexander,Gray,Male,20,978-5223-00,Graduation,Pharmacist,Single,1,Delhi,SC,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
Brooke,Barrett,Female,22,162-8007-04,Primary,Software Developer,Single,4,Hyderabad,General,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1
Robert,Holmes,Male,21,788-4641-54,Illiterate,Business,Single,2,Patna,NT/DNT,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1
Emma,Morrison,Female,24,018-4200-38,Secondary,Mechanic,Single,1,Hyderabad,General,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
Darcy,Johnston,Female,23,459-1143-33,Secondary,Accountant,Single,4,Delhi,OBC,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1
Belinda,Foster,Female,23,318-8862-58,Post graduation,Architect,Single,1,Patna,General,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
Kristian,West,Male,27,105-8088-84,Illiterate,Software Developer,Married,5,Lucknow,Prefer Not to say,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
Jenna,Sullivan,Female,25,728-7853-78,Graduation,Mechanic,Single,5,Patna,SC,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1
Albert,Gibson,Male,19,013-1637-59,Senior Secondary,Teaching faculty,Married,4,Raipur,SC,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0
Belinda,Clark,Female,30,417-4960-03,Primary,Business,Single,2,Kochi,General,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1
Deanna,Stewart,Female,19,507-0121-06,Illiterate,Teaching faculty,Single,3,Raipur,General,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1
Audrey,Perkins,Female,24,089-0463-31,Graduation,Lawyer,Married,1,Hyderabad,OBC,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1
Andrew,Ross,Male,18,614-9386-30,Graduation,Pharmacist,Single,5,Hyderabad,Prefer Not to say,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1
Lana,Miller,Female,26,059-5335-56,Graduation,Teaching faculty,Single,4,Kochi,Prefer Not to say,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1
Arnold,Smith,Male,23,392-4507-96,Senior Secondary,Data Analyst,Married,4,Chennai,SC,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0
Alford,Wright,Male,19,395-1337-78,Illiterate,Pharmacist,Married,5,Lucknow,Prefer Not to say,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0
Albert,Perkins,Male,22,542-5369-27,Secondary,Accountant,Married,2,Lucknow,NT/DNT,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
Carina,Thompson,Female,24,821-9696-00,Primary,Software Developer,Married,2,Bangalore,SC,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1
Kristian,Ross,Male,27,993-8372-19,Secondary,Data Analyst,Married,1,Raipur,ST,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
Lana,Gibson,Female,24,359-2085-83,Graduation,Production Engineer,Single,1,Kochi,SC,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0
Kelvin,Bennett,Male,24,450-8235-68,Illiterate,Software Developer,Married,3,Chennai,OBC,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1
Kevin,Farrell,Male,27,841-0547-37,Graduation,Software Developer,Married,5,Raipur,ST,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1
Ashton,Johnson,Male,25,913-4311-40,Senior Secondary,Accountant,Married,2,Mumbai,NT/DNT,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1
Bruce,Davis,Male,30,375-8260-87,Primary,Lawyer,Married,0,Chennai,SC,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0
Vincent,Alexander,Male,20,153-0535-18,Senior Secondary,Data Analyst,Single,1,Hyderabad,General,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
Kevin,Hill,Male,23,596-6379-29,Post graduation,Lawyer,Single,4,Patna,Prefer Not to say,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0
Caroline,Wilson,Female,30,211-2542-15,Illiterate,Lawyer,Single,3,Chennai,NT/DNT,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0
Carlos,Hawkins,Male,19,924-3906-24,Post graduation,Architect,Single,1,Kolkata,General,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
Tyler,Moore,Male,23,842-4582-96,Post graduation,Pharmacist,Married,4,Patna,Prefer Not to say,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
Kate,Miller,Female,20,964-0717-11,Post graduation,Architect,Married,2,Raipur,ST,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
Spike,Robinson,Male,21,992-1556-86,Primary,Lawyer,Married,3,Raipur,SC,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0
Tess,Sullivan,Female,21,267-6976-74,Illiterate,Pharmacist,Single,0,Kolkata,SC,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
Lilianna,Owens,Female,21,338-6643-74,Senior Secondary,Mechanic,Married,5,Mumbai,General,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1
William,West,Male,18,574-9425-13,Illiterate,Software Developer,Single,3,Bangalore,Prefer Not to say,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
Vanessa,Alexander,Female,29,068-8470-06,Senior Secondary,Software Developer,Married,1,Mumbai,NT/DNT,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0
